,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"test[0, 0]",-5.639,0.059,-5.75,-5.529,0.001,0.001,6205.0,12518.0,1.0
"test[0, 1]",1.604,0.005,1.594,1.609,0.0,0.0,69623.0,76357.0,1.0
"test[0, 2]",-0.054,0.09,-0.222,0.115,0.001,0.001,12037.0,22655.0,1.0
"test[0, 3]",-1.801,0.071,-1.935,-1.669,0.001,0.001,7167.0,14054.0,1.0
"test[0, 4]",-6.228,1.814,-9.21,-3.293,0.007,0.005,60994.0,66925.0,1.0
"test[0, 5]",-7.267,1.244,-9.21,-5.171,0.005,0.003,65882.0,72352.0,1.0
"test[1, 0]",-7.87,0.687,-9.204,-6.809,0.016,0.011,1853.0,2011.0,1.0
"test[1, 1]",0.9,0.336,0.452,1.238,0.012,0.008,1033.0,740.0,1.0
"test[1, 2]",-0.371,1.453,-2.398,0.502,0.07,0.05,665.0,555.0,1.0
"test[1, 3]",-1.645,0.074,-1.788,-1.51,0.002,0.001,2261.0,4770.0,1.0
"test[1, 4]",-5.791,2.045,-9.21,-2.525,0.009,0.006,46592.0,30308.0,1.0
"test[1, 5]",-2.097,0.272,-2.593,-1.538,0.009,0.007,860.0,773.0,1.0
"test[2, 0]",-6.835,0.168,-7.158,-6.526,0.001,0.001,13303.0,19118.0,1.0
"test[2, 1]",0.343,0.139,0.071,0.59,0.002,0.001,8626.0,18382.0,1.0
"test[2, 2]",0.466,0.05,0.37,0.559,0.001,0.001,3701.0,8852.0,1.0
"test[2, 3]",-2.019,0.044,-2.102,-1.938,0.001,0.0,4256.0,10258.0,1.0
"test[2, 4]",-6.12,1.847,-9.209,-3.187,0.011,0.008,22920.0,10601.0,1.0
"test[2, 5]",-6.881,1.424,-9.21,-4.58,0.007,0.005,36636.0,30174.0,1.0
"test[3, 0]",-7.66,0.784,-9.094,-6.435,0.01,0.007,5690.0,7597.0,1.0
"test[3, 1]",-4.476,2.683,-8.904,-0.292,0.033,0.023,4762.0,2426.0,1.0
"test[3, 2]",-2.227,1.196,-4.008,-0.579,0.018,0.013,2983.0,2632.0,1.0
"test[3, 3]",-1.69,0.043,-1.769,-1.606,0.001,0.0,7342.0,8458.0,1.0
"test[3, 4]",-6.08,1.905,-9.208,-2.993,0.007,0.005,68376.0,72951.0,1.0
"test[3, 5]",-1.269,0.053,-1.365,-1.204,0.001,0.001,5481.0,6246.0,1.0
"test[4, 0]",-6.317,0.28,-6.847,-5.811,0.004,0.003,5738.0,11053.0,1.0
"test[4, 1]",1.293,0.054,1.193,1.392,0.0,0.0,18390.0,37364.0,1.0
"test[4, 2]",0.121,0.238,-0.315,0.562,0.004,0.003,2955.0,7288.0,1.0
"test[4, 3]",-1.307,0.058,-1.404,-1.204,0.001,0.001,6469.0,12420.0,1.0
"test[4, 4]",-2.899,2.117,-7.698,-1.204,0.026,0.019,5021.0,24297.0,1.0
"test[4, 5]",-1.577,0.139,-1.84,-1.318,0.002,0.002,4222.0,11072.0,1.0
"test[5, 0]",-8.653,0.399,-9.21,-7.942,0.003,0.002,26612.0,26942.0,1.0
"test[5, 1]",0.702,0.165,0.401,0.986,0.002,0.002,5002.0,9024.0,1.0
"test[5, 2]",0.291,0.107,0.088,0.491,0.002,0.001,2812.0,5173.0,1.0
"test[5, 3]",-2.081,0.089,-2.249,-1.916,0.002,0.001,2755.0,5370.0,1.0
"test[5, 4]",-5.094,2.308,-8.955,-1.537,0.026,0.018,6132.0,4118.0,1.0
"test[5, 5]",-3.196,0.39,-3.858,-2.575,0.004,0.003,11900.0,23018.0,1.0
"test[6, 0]",-7.772,0.279,-8.304,-7.289,0.002,0.001,24494.0,42570.0,1.0
"test[6, 1]",-5.701,2.105,-9.21,-2.338,0.009,0.006,57525.0,57200.0,1.0
"test[6, 2]",0.688,0.068,0.557,0.807,0.001,0.001,4823.0,8282.0,1.0
"test[6, 3]",-1.222,0.015,-1.248,-1.204,0.0,0.0,34352.0,36723.0,1.0
"test[6, 4]",-1.288,0.088,-1.442,-1.204,0.001,0.001,18039.0,15924.0,1.0
"test[6, 5]",-1.806,0.076,-1.953,-1.666,0.001,0.001,5309.0,9825.0,1.0
"test[7, 0]",-6.462,0.277,-6.97,-5.996,0.004,0.003,4805.0,6924.0,1.0
"test[7, 1]",1.082,0.139,0.866,1.292,0.003,0.002,4433.0,2168.0,1.0
"test[7, 2]",-0.615,0.759,-1.198,0.015,0.029,0.022,2757.0,1783.0,1.0
"test[7, 3]",-1.897,0.08,-2.05,-1.748,0.001,0.001,5417.0,5619.0,1.0
"test[7, 4]",-6.188,1.848,-9.21,-3.195,0.007,0.005,68664.0,79102.0,1.0
